
---------- Begin Simulation Statistics ----------
simSeconds                                   0.141526                       # Number of seconds simulated (Second)
simTicks                                 141525897000                       # Number of ticks simulated (Tick)
finalTick                                141525897000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    306.94                       # Real time elapsed on the host (Second)
hostTickRate                                461079651                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     676544                       # Number of bytes of host memory used (Byte)
simInsts                                    288445808                       # Number of instructions simulated (Count)
simOps                                      288445808                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   939732                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     939732                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        141525898                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.490650                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.038113                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       339059075                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    51555                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      327001491                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 104853                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             50664821                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20957154                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           141506508                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.310858                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.996979                       # Number of insts issued each cycle (Count)
system.l2bus.transDist::ReadResp               289576                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty         249024                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict             167986                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeReq              30748                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeResp             30748                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq               22555                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp              22555                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq          289576                       # Transaction distribution (Count)
system.l2bus.transDist::InvalidateReq               1                       # Transaction distribution (Count)
system.l2bus.transDist::InvalidateResp              1                       # Transaction distribution (Count)
system.l2bus.pktCount_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port          692                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port       996721                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                   997413                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port        19520                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port     29936448                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                  29955968                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.snoops                            105357                       # Total snoops (Count)
system.l2bus.snoopTraffic                     5957952                       # Total snoop traffic (Byte)
system.l2bus.snoopFanout::samples              448237                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::mean               0.002008                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::stdev              0.044764                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::0                    447337     99.80%     99.80% # Request fanout histogram (Count)
system.l2bus.snoopFanout::1                       900      0.20%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::2                         0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::max_value                 1                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::total                448237                       # Request fanout histogram (Count)
system.l2bus.power_state.pwrStateResidencyTicks::UNDEFINED 141525897000                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.reqLayer0.occupancy            966395000                       # Layer occupancy (ticks) (Tick)
system.l2bus.reqLayer0.utilization                0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer0.occupancy              915000                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer1.occupancy           966227000                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer1.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.snoop_filter.totRequests          654533                       # Total number of requests made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleRequests       342401                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2bus.snoop_filter.totSnoops               900                       # Total number of snoops made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleSnoops          900                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2cache.demandHits::cpu.inst                 5                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::cpu.data            203163                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::total               203168                       # number of demand (read+write) hits (Count)
system.l2cache.overallHits::cpu.inst                5                       # number of overall hits (Count)
system.l2cache.overallHits::cpu.data           203163                       # number of overall hits (Count)
system.l2cache.overallHits::total              203168                       # number of overall hits (Count)
system.l2cache.demandMisses::cpu.inst             300                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data          108663                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total             108963                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst            300                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data         108663                       # number of overall misses (Count)
system.l2cache.overallMisses::total            108963                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst     36865000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data   8129456000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total    8166321000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst     36865000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data   8129456000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total   8166321000                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst           305                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data        311826                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total           312131                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst          305                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data       311826                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total          312131                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.983607                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.348473                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.349094                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.983607                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.348473                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.349094                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 122883.333333                       # average overall miss latency in ticks ((Tick/Count))
